pile_num,img_x_px,img_y_px,ocr_conf,angle_votes,confidence_level
428,2322.3,2450.6,76,2,medium
430,1438.7,607.5,82,3,medium
431,2839.7,4972.9,68,2,medium
432,1514.0,1887.5,95,4,medium
433,1014.4,681.9,95,1,low
434,1237.0,605.1,94,3,medium
435,3106.0,3332.0,81,1,low
436,1614.4,511.3,82,1,low
437,2885.9,3127.3,94,8,high
438,955.8,893.8,84,3,medium
439,2025.2,437.0,91,2,medium
440,1959.8,2512.4,90,1,low
441,1867.7,2388.0,91,3,medium
442,2388.9,2537.3,89,6,high
443,2432.5,328.8,96,3,medium
444,2501.3,2661.8,87,5,high
445,2090.6,2192.0,96,5,high
446,2596.2,2766.4,85,2,medium
447,1862.8,1979.5,91,4,medium
448,1956.8,2097.5,92,5,high
449,3043.6,272.0,93,1,low
450,3151.4,96.5,93,1,low
451,2829.5,142.7,69,1,low
452,3178.8,3299.1,84,6,high
453,3378.4,240.2,96,2,medium
454,1465.4,1519.4,81,3,medium
457,2708.8,2656.0,82,6,high
458,2536.1,2461.6,84,5,high
459,2501.7,2432.7,80,2,medium
460,2333.9,1859.6,82,1,low
461,1911.8,144.8,48,1,low
463,2043.3,2000.7,78,1,low
464,2009.0,1857.5,95,4,medium
465,1873.8,1758.0,86,2,medium
467,1600.6,1577.5,95,3,medium
468,1607.2,1395.7,96,2,medium
471,3140.1,2853.5,80,2,medium
473,2926.1,2666.9,94,3,medium
474,3105.8,2992.9,82,5,high
475,2737.3,2466.4,92,10,high
476,2094.9,5396.2,78,2,medium
477,1715.3,5449.5,96,2,medium
478,2360.4,2069.8,93,6,high
479,1231.2,5178.9,96,2,medium
480,1314.5,4982.0,89,1,low
481,1727.1,5269.9,96,2,medium
482,1504.4,4970.0,96,2,medium
483,1813.9,1556.9,93,4,medium
484,2316.5,2208.4,87,3,medium
485,2932.8,4875.6,94,3,medium
486,3432.0,3088.7,76,3,medium
487,3354.8,2863.1,92,4,medium
488,3456.1,3001.6,89,3,medium
489,2306.5,5066.2,96,2,medium
490,3060.2,2684.4,92,5,high
491,2943.7,2469.7,89,4,medium
492,2820.8,2327.4,94,5,high
493,3125.5,4848.0,96,2,medium
494,2686.8,2142.9,89,7,high
495,2502.6,1994.2,79,1,low
496,2418.1,1888.4,96,5,high
497,2773.9,4889.5,96,3,medium
498,3625.4,4330.2,92,3,medium
499,2248.0,1524.6,77,2,medium
500,3059.0,4646.1,93,2,medium
501,3788.2,4400.8,56,1,low
502,3173.9,4615.5,26,1,low
503,3249.5,4748.9,92,2,medium
504,3351.8,4557.7,95,2,medium
505,3362.6,4721.4,92,1,low
506,3467.0,4532.2,94,1,low
507,3300.4,4785.5,78,1,low
508,3674.8,4444.9,95,1,low
509,3657.3,4636.1,86,1,low
510,3818.5,4398.5,94,3,medium
511,3867.3,4542.8,77,3,medium
513,3830.7,4650.0,80,3,medium
514,4505.3,3693.9,92,3,medium
519,4427.0,3527.0,84,3,medium
524,705.4,2305.7,63,1,low
537,1941.5,342.0,73,2,medium
538,2856.6,3538.7,46,2,medium
541,4419.5,928.7,85,3,medium
542,4486.9,1076.7,93,3,medium
543,4639.8,1475.4,83,1,low
544,3938.0,4477.0,71,1,low
546,4811.1,1883.7,70,1,low
547,4689.5,1433.1,82,3,medium
549,4439.1,1171.5,92,3,medium
564,4026.2,4163.5,41,2,medium
566,-6.7,2595.5,75,1,low
567,4278.0,980.6,95,3,medium
568,4611.6,1533.7,91,2,medium
569,4658.1,1716.1,87,1,low
570,4294.6,1191.7,90,3,medium
571,4432.0,1430.7,82,2,medium
572,4526.2,1614.7,93,3,medium
573,4534.4,1641.7,96,2,medium
574,4708.4,2044.7,63,3,medium
575,4811.1,2535.9,39,1,low
576,4460.9,1426.0,90,3,medium
586,4469.8,1113.3,90,1,low
587,2620.0,313.6,95,2,medium
588,3227.7,360.0,79,1,low
589,4579.9,1560.3,85,1,low
593,3158.3,979.7,78,1,low
594,3633.0,4366.8,51,1,low
597,4447.6,2240.6,96,3,medium
601,3940.8,1240.3,85,1,low
603,4329.8,1794.4,78,1,low
604,3780.0,1091.2,94,3,medium
607,1403.9,3223.8,93,5,high
611,1063.0,2691.7,91,4,medium
612,1024.8,2351.6,93,1,low
613,870.5,2626.0,96,3,medium
614,898.4,2073.8,94,3,medium
615,711.2,2239.4,93,2,medium
616,848.2,1681.8,96,3,medium
617,1191.3,3091.0,96,4,medium
618,1139.4,2993.1,90,4,medium
619,1191.3,3297.1,85,4,medium
621,934.1,2758.2,90,2,medium
623,753.9,2690.5,84,2,medium
624,654.3,2601.1,96,3,medium
625,557.2,2476.0,92,3,medium
627,1160.6,3414.3,96,3,medium
628,904.7,1457.5,87,1,low
631,801.4,2725.0,95,3,medium
632,733.3,2936.5,76,1,low
634,124.8,3087.1,79,1,low
635,779.0,1635.3,90,1,low
639,958.5,2352.5,63,1,low
642,4182.8,4312.5,65,1,low
643,886.5,2492.5,81,2,medium
644,669.8,2620.7,91,3,medium
645,350.2,2397.6,95,3,medium
647,1387.1,3487.9,88,5,high
648,795.1,3484.4,90,3,medium
649,664.6,3082.3,85,3,medium
651,526.6,2748.3,88,2,medium
657,876.8,3821.5,83,3,medium
661,384.8,2734.7,81,1,low
662,358.4,2377.4,94,3,medium
663,417.3,2388.4,40,1,low
664,460.1,3284.9,65,1,low
667,779.1,3947.9,81,2,medium
670,341.9,3184.5,96,2,medium
671,283.5,3156.6,91,3,medium
672,264.9,3329.7,95,3,medium
674,75.7,3142.5,50,2,medium
676,312.1,3004.3,96,3,medium
678,430.5,3697.7,96,3,medium
681,525.8,2741.8,80,1,low
682,214.9,3619.4,79,2,medium
684,153.5,3244.0,73,1,low
687,738.6,3594.1,89,3,medium
689,34.6,2700.5,60,1,low
693,2.8,3620.6,96,2,medium
700,2433.7,4703.1,96,3,medium
702,2660.8,4608.7,96,3,medium
703,2803.4,4563.1,96,3,medium
704,2732.3,4605.6,94,8,high
706,3021.9,4508.1,94,3,medium
707,3663.2,4166.7,48,3,medium
708,3360.1,4421.1,96,4,medium
709,3625.1,4323.2,92,1,low
710,3662.6,4371.8,96,3,medium
711,4235.1,3819.1,57,2,medium
712,4115.7,4136.6,96,3,medium
713,1607.0,4150.4,82,3,medium
714,1919.3,2933.8,69,3,medium
716,1247.7,4501.2,66,3,medium
718,1549.1,4799.9,95,4,medium
719,2399.8,3418.3,79,2,medium
720,1547.2,4764.4,91,2,medium
721,1538.7,4635.7,90,3,medium
722,1326.5,4392.7,88,3,medium
723,1447.4,4345.8,96,3,medium
724,1413.6,4851.6,93,3,medium
725,1517.7,4859.6,92,3,medium
726,2993.2,2982.9,57,4,medium
728,1193.1,4585.2,93,4,medium
729,567.7,3070.2,45,1,low
731,1317.7,3871.6,55,2,medium
732,1199.1,4583.4,88,3,medium
733,1112.3,4647.3,82,1,low
734,1245.2,4729.6,84,3,medium
735,1509.3,4407.1,90,2,medium
737,1057.1,4630.4,96,3,medium
738,1488.7,5123.4,92,3,medium
739,1080.7,5015.3,94,2,medium
740,967.3,4944.5,92,2,medium
742,911.7,4678.6,96,3,medium
743,685.6,4365.1,96,3,medium
744,3825.6,4329.3,83,3,medium
745,1410.3,5301.4,91,2,medium
746,1354.6,5168.5,86,2,medium
747,981.7,4883.1,95,3,medium
748,1833.2,5304.1,95,6,high
754,1981.0,5489.3,47,1,low
755,1909.5,4561.4,77,2,medium
756,1279.2,4419.2,93,3,medium
758,1614.3,4598.0,87,2,medium
759,640.1,4402.6,82,2,medium
761,1679.5,4400.8,81,1,low
763,772.1,4033.5,96,3,medium
764,1138.9,4041.5,93,4,medium
765,1119.5,4716.4,92,3,medium
767,1599.6,4735.1,92,3,medium
768,1054.1,4045.7,84,3,medium
770,820.6,4207.4,96,3,medium
771,676.6,4269.0,81,3,medium
772,312.9,4016.0,95,2,medium
773,1581.7,4135.6,88,2,medium
774,1148.2,4055.4,82,4,medium
776,811.8,4124.2,93,3,medium
778,1307.7,3938.3,75,2,medium
779,1113.3,3726.0,95,4,medium
780,798.1,3497.2,90,1,low
781,1143.2,3673.6,85,4,medium
782,418.8,4578.6,76,3,medium
783,482.3,3853.6,96,3,medium
784,1320.0,4326.7,95,3,medium
785,1226.2,3805.4,91,4,medium
786,314.6,4116.9,96,2,medium
787,963.0,3963.6,94,4,medium
788,1359.9,4298.4,93,3,medium
789,434.7,3705.4,95,3,medium
790,818.0,4464.4,85,1,low
791,1266.3,3820.6,61,1,low
792,760.5,3250.1,94,3,medium
793,595.4,3223.9,91,1,low
794,975.3,4169.6,89,4,medium
796,148.4,3326.0,74,2,medium
797,881.0,3072.1,84,3,medium
798,989.5,3704.2,90,3,medium
800,431.0,3172.2,96,1,low
801,601.2,3955.3,88,3,medium
802,148.3,3309.2,96,1,low
803,1600.6,4044.3,94,4,medium
804,2799.0,1375.4,65,4,medium
807,1327.2,3012.2,96,5,high
808,878.0,1307.2,75,1,low
809,705.1,1359.7,87,2,medium
810,1159.0,2568.3,93,4,medium
811,1.5,2632.8,48,1,low
812,997.0,2470.1,94,4,medium
814,3684.5,619.4,73,2,medium
815,1032.0,1639.5,85,2,medium
816,558.4,1437.9,93,5,high
817,304.1,1768.7,94,3,medium
818,1116.0,2793.9,91,3,medium
819,1109.3,2543.0,89,6,high
820,1064.1,2362.7,76,1,low
821,989.9,2344.1,86,2,medium
823,756.8,2862.9,90,2,medium
824,804.8,2027.8,63,3,medium
825,794.5,1808.5,90,3,medium
827,1039.3,3109.3,85,3,medium
828,1992.0,513.4,57,1,low
831,3578.7,859.4,90,3,medium
832,3538.7,776.1,94,1,low
833,814.6,1962.3,90,2,medium
834,2991.6,1450.3,79,4,medium
837,981.0,3396.8,94,4,medium
839,-15.4,3796.8,51,1,low
840,1941.5,1000.8,35,1,low
841,56.9,2222.0,87,1,low
842,600.7,2587.2,93,3,medium
843,3153.5,483.7,60,1,low
844,87.3,2100.4,92,2,medium
845,592.9,1725.5,90,3,medium
847,1729.9,937.5,93,3,medium
848,1756.5,782.1,85,1,low
849,1554.1,700.3,81,2,medium
850,594.7,2567.2,79,1,low
851,635.5,3373.3,57,3,medium
852,1544.6,1156.9,84,2,medium
853,60.1,3478.5,41,1,low
855,478.4,1687.8,78,1,low
858,512.9,2772.2,56,1,low
859,489.8,2621.6,73,1,low
861,397.0,2534.7,92,3,medium
862,325.8,2661.4,70,1,low
863,1790.1,4140.9,79,4,medium
864,390.5,2879.5,71,3,medium
869,4548.2,1892.2,83,1,low
870,3990.2,1098.0,86,3,medium
871,242.8,2791.5,79,1,low
872,4463.4,1812.3,96,3,medium
873,4445.5,1764.2,96,5,high
874,4517.4,1901.8,95,5,high
875,4344.5,1498.3,78,3,medium
876,4605.0,2009.5,96,6,high
877,383.8,3555.3,95,3,medium
878,3895.6,733.0,96,3,medium
879,4286.6,1395.3,96,3,medium
880,4201.2,1180.1,91,1,low
881,4685.2,2530.9,95,2,medium
882,69.9,2420.2,96,2,medium
883,4778.8,2553.1,96,2,medium
884,3171.6,1552.2,70,3,medium
885,73.2,3013.8,74,1,low
887,523.0,3489.1,94,3,medium
888,362.3,2799.3,57,1,low
889,1411.3,1007.9,56,1,low
890,8.6,2548.8,78,1,low
893,3533.0,1492.2,96,4,medium
894,3904.7,1709.3,92,1,low
897,2905.0,1682.9,95,5,high
906,3191.4,515.0,94,2,medium
907,4402.6,3297.2,82,3,medium
910,2287.3,644.7,94,3,medium
912,2501.5,461.2,95,2,medium
913,3640.6,715.6,92,2,medium
914,2869.6,611.4,92,3,medium
915,2956.2,202.7,96,2,medium
916,2835.9,54.0,89,2,medium
917,2871.1,376.7,91,2,medium
918,1633.8,577.3,86,2,medium
919,1859.8,658.7,75,5,high
921,2480.2,391.7,95,2,medium
922,2223.4,1057.6,69,3,medium
923,2763.2,420.1,45,1,low
924,2250.6,799.4,95,3,medium
925,1511.6,609.1,89,3,medium
927,1569.2,868.6,94,3,medium
928,2179.9,866.7,90,2,medium
929,2423.7,479.4,94,2,medium
930,1889.5,872.3,70,1,low
931,1834.5,826.1,84,3,medium
932,2219.0,886.4,89,3,medium
933,3695.7,3136.4,85,1,low
934,1637.9,893.5,85,3,medium
935,372.9,4152.7,58,1,low
936,1963.2,830.1,75,3,medium
937,1153.6,908.7,95,3,medium
938,1227.2,1191.6,77,2,medium
939,1512.4,1015.3,96,3,medium
940,1853.3,1025.6,84,2,medium
943,3034.6,446.9,87,2,medium
944,1570.5,703.8,93,3,medium
945,1501.4,1036.0,92,3,medium
946,1889.8,741.6,67,1,low
947,1545.4,1015.3,77,3,medium
948,1685.0,1101.8,94,2,medium
949,976.3,1043.1,68,1,low
951,963.9,1435.5,89,4,medium
952,1003.5,1594.8,95,4,medium
953,1423.1,734.3,66,1,low
954,1443.9,876.9,91,2,medium
956,1270.0,1304.1,91,1,low
957,1410.4,707.1,84,2,medium
958,1589.5,1105.8,92,3,medium
959,1235.6,1118.6,33,1,low
960,926.3,1617.4,91,3,medium
961,695.4,1186.5,89,3,medium
962,406.6,1797.4,87,4,medium
963,1180.2,1102.3,93,2,medium
964,453.5,1498.3,78,2,medium
966,994.8,1508.8,82,1,low
967,1165.5,1007.5,96,4,medium
968,958.9,1042.7,86,1,low
969,899.4,851.0,94,1,low
970,370.9,1670.7,79,3,medium
971,493.7,1704.3,93,3,medium
972,763.6,1513.4,96,3,medium
973,2260.7,1059.5,95,3,medium
974,1398.3,1401.4,96,4,medium
975,1417.1,1399.9,95,2,medium
976,1430.5,1388.7,94,4,medium
977,1444.6,1358.3,96,4,medium
978,1616.1,1258.2,62,6,high
979,1003.5,1669.3,94,4,medium
980,809.1,1859.4,94,2,medium
981,602.0,2165.8,79,3,medium
982,328.8,1806.9,82,2,medium
983,375.7,2000.6,91,3,medium
984,1192.6,1287.5,95,3,medium
985,4340.0,3969.6,55,2,medium
987,4474.9,3716.4,92,3,medium
992,4377.4,3676.2,71,1,low
993,4473.0,1557.7,75,1,low
994,4448.9,3749.2,82,3,medium
996,4278.9,3857.4,82,1,low
997,2488.6,1565.6,95,4,medium
1000,4500.5,3404.6,95,3,medium
1001,4296.2,3624.0,90,1,low
1002,4264.8,3414.7,95,3,medium
1003,4161.8,3400.7,79,1,low
1004,4229.3,3755.6,89,3,medium
1005,4149.0,3939.6,95,3,medium
1006,4228.9,3546.3,96,3,medium
1007,4159.7,3416.7,92,3,medium
1008,4135.7,3221.1,95,4,medium
1009,4038.7,3075.7,94,3,medium
1010,4238.9,3613.8,94,3,medium
1011,4226.2,3296.0,88,3,medium
1012,4077.7,3374.3,93,2,medium
1014,3931.8,3084.9,96,3,medium
1016,4041.7,3552.1,95,3,medium
1017,3902.5,3552.6,87,2,medium
1018,3809.7,3943.6,90,4,medium
1019,3804.6,3178.9,95,4,medium
