name,easting_m,northing_m,working_platform_level_m,diameter_m,total_length_m,zone_name,,,,,,
CMC-86,502944.723,2443929.681,6.25,0.6,16,Boundary Wall,,,,,,
CMC-87,502943.728,2443931.416,6.25,0.6,16,Boundary Wall,,,,,,
CMC-88,502942.734,2443933.151,6.25,0.6,16,Boundary Wall,,,,,,
CMC-89,502941.74,2443934.887,6.25,0.6,16,Boundary Wall,,,,,,
CMC-90,502940.745,2443936.622,6.25,0.6,16,Boundary Wall,,,,,,
CMC-91,502939.751,2443938.357,6.25,0.6,16,Boundary Wall,,,,,,
CMC-92,502938.756,2443940.093,6.25,0.6,16,Boundary Wall,,,,,,
CMC-93,502969.331,2443890.762,6.25,0.6,16,Boundary Wall,,,,,,
CMC-94,502968.337,2443892.497,6.25,0.6,16,Boundary Wall,,,,,,
CMC-95,502967.342,2443894.232,6.25,0.6,16,Boundary Wall,,,,,,
CMC-96,502966.348,2443895.968,6.25,0.6,16,Boundary Wall,,,,,,
CMC-97,502965.353,2443897.703,6.25,0.6,16,Boundary Wall,,,,,,
CMC-98,502964.359,2443899.439,6.25,0.6,16,Boundary Wall,,,,,,
CMC-99,502963.364,2443901.174,6.25,0.6,16,Boundary Wall,,,,,,
CMC-100,502962.37,2443902.909,6.25,0.6,16,Boundary Wall,,,,,,
CMC-101,502961.376,2443904.645,6.25,0.6,16,Boundary Wall,,,,,,
CMC-102,502960.381,2443906.38,6.25,0.6,16,Boundary Wall,,,,,,
CMC-103,502959.387,2443908.115,6.25,0.6,16,Boundary Wall,,,,,,
CMC-104,502958.392,2443909.851,6.25,0.6,16,Boundary Wall,,,,,,
CMC-105,502957.398,2443911.586,6.25,0.6,16,Boundary Wall,,,,,,
CMC-106,502956.403,2443913.321,6.25,0.6,16,Boundary Wall,,,,,,
CMC-107,502955.409,2443915.057,6.25,0.6,16,Boundary Wall,,,,,,
CMC-108,502954.414,2443916.792,6.25,0.6,16,Boundary Wall,,,,,,
CMC-109,502953.42,2443918.528,6.25,0.6,16,Boundary Wall,,,,,,
CMC-110,502952.425,2443920.263,6.25,0.6,16,Boundary Wall,,,,,,
